"Story","Title","Result","Date","Stability","Duration (s)"
"Tags class","This scenario makes a valid request ","SUCCESS","2024-01-31T16:49:59.016-06:00[America/Chicago]","0.0","1.86"
"Tags class","this scenario will fail because of the http method used","SUCCESS","2024-01-31T16:50:01.293-06:00[America/Chicago]","0.0","0.21"
